310264738,1436,1
310264738,3716,1
310264738,3718,1
310264738,6850,1
310264738,3717,1
310264738,9891,1
310264738,6789,1
404859074,5294,1
404859074,5290,1
404859074,2475,1
404859074,5293,1
DB09079,2324,1
DB09079,2321,1
DB09079,2322,1
DB09079,4067,1
DB09079,6714,1
DB09079,3791,1
DB09079,3932,1
DB09079,5156,1
DB09079,2263,1
DB00589,1815,2
DB00589,1812,5
DB00589,3351,2
DB00589,3352,2
DB00589,3350,2
DB00589,1816,5
DB00589,3356,2
DB00589,1814,2
CHEMBL932,5158,1
CHEMBL932,5142,1
CHEMBL932,5139,1
CHEMBL932,8654,1
CHEMBL932,27115,1
CHEMBL932,2030,1
CHEMBL932,5145,1
CHEMBL932,5153,1
CHEMBL932,10846,1
CHEMBL932,5146,1
CHEMBL932,8622,1
CHEMBL932,5149,1
CHEMBL932,5151,1
CHEMBL932,5137,1
CHEMBL932,5140,1
CHEMBL932,5144,1
CHEMBL932,5147,1
CHEMBL932,5136,1
CHEMBL932,5141,1
DB11124,153,2
DB11124,154,2
DB11124,146,5
DB11124,147,2
DB11124,155,2
DB11124,148,2
DB11124,151,2
135649939,1129,5
135649939,3269,5
135649939,3362,5
135649939,1131,5
135649939,6530,1
135649939,1128,5
135649939,1133,5
135651539,5729,2
135651539,5737,2
135651539,5732,2
135651539,5734,2
135651539,11251,2
135651539,5733,2
135651539,347732,9
135651539,117155,9
135651539,6915,2
CHEMBL1200648,1146,5
CHEMBL1200648,1145,5
CHEMBL1200648,1140,5
CHEMBL1200648,1144,5
CHEMBL3544942,1019,1
CHEMBL3544942,5128,1
CHEMBL3544942,1025,1
CHEMBL3544942,8621,1
CHEMBL3544942,984,1
CHEMBL3544942,65061,1
CHEMBL3544942,1020,1
CHEMBL3544942,5129,1
CHEMBL3544942,8558,1
CHEMBL3544942,1033,1
CHEMBL3544942,51755,1
CHEMBL3544942,5127,1
CHEMBL3544942,23097,1
CHEMBL3544942,1024,1
CHEMBL3544942,1021,1
CHEMBL3544942,5218,1
249565818,4914,1
249565818,2322,1
249565818,695,1
249565818,23617,1
249565818,5261,1
249565818,2260,1
249565818,25,1
249565818,2268,1
178101138,2554,11
178101138,2556,11
178101138,2558,11
178101138,2557,11
CHEMBL1200722,1145,5
CHEMBL1200722,1140,5
CHEMBL1200722,1134,5
CHEMBL1200722,1144,5
135649886,1132,2
135649886,1128,2
135649886,1133,2
135649886,1129,2
DB00608,2944,1
DB00608,59272,10
DB00608,54106,1
DB00608,7124,1
DB00988,1812,2
DB00988,6530,1
DB00988,1621,13
DB00988,1813,2
DB00988,1814,2
DB00988,3350,0
DB00988,1816,2
DB00988,1815,2
178100907,2906,2
178100907,2904,2
178100907,2903,2
178100907,2902,2
CHEMBL12,2556,8
CHEMBL12,2558,8
CHEMBL12,55879,8
CHEMBL12,2559,8
CHEMBL12,2567,8
CHEMBL12,2561,8
CHEMBL12,2557,8
CHEMBL12,2566,8
CHEMBL12,2565,8
CHEMBL12,2563,8
CHEMBL12,2560,8
CHEMBL12,2562,8
XL-765,5293,1
XL-765,5295,1
XL-765,2475,1
XL-765,5291,1
XL-765,5286,1
XL-765,146850,1
XL-765,5287,1
XL-765,5288,1
XL-765,23533,1
XL-765,8503,1
XL-765,5296,1
XL-765,30849,1
178103704,1128,5
178103704,1129,5
178103704,1132,5
178103704,1131,5
135651366,3352,2
135651366,3355,2
135651366,3350,2
135651366,3354,2
135652694,1129,11
135652694,1132,11
135652694,1131,11
135652694,1133,11
CHEMBL14762,1025,1
CHEMBL14762,1022,1
CHEMBL14762,1020,1
CHEMBL14762,1017,1
CHEMBL1234354,5290,1
CHEMBL1234354,2475,1
CHEMBL1234354,5291,1
CHEMBL1234354,5296,1
CHEMBL1234354,5295,1
CHEMBL1234354,8503,1
CHEMBL1234354,5294,1
CHEMBL1480,776,12
CHEMBL1480,778,12
CHEMBL1480,775,12
